"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
1530,"Austin HN","1987-08-15",0,0,0,0,4,"National",0
1531,"Lange, D","1996-10-12",0,0,0,0,7,"Labour",0
1536,"Jones NPH","1987-08-15",0,0,0,0,4,"National",0
1569,"Latter EG","1978-11-25",0,0,0,0,1,"National",1
1596,"Rogers FL","1981-11-28",0,0,0,0,2,"Labour",0
1600,"COOPER, WE","1996-10-12",0,1,1,0,7,"National",1
1625,"Waring MJ","1984-07-14",0,0,0,0,3,"National",1
1632,"Quigley DF","1984-07-14",0,1,0,0,3,"National",1
1708,"Elliott JG","1981-11-28",0,0,0,0,2,"National",1
1717,"FALLOON, J","1996-10-12",0,1,0,0,7,"National",1
1723,"Mckinnon, DC","1996-10-12",0,1,1,0,6,"National",1
1742,"Gray, R","1996-10-12",0,0,0,0,6,"National",1
1746,"Rodger SJ","1990-10-27",0,1,0,0,4,"Labour",1
1781,"Schultz LCT","1981-11-28",0,0,0,0,1,"National",1
1784,"CULLEN, M","1996-10-12",0,0,0,0,5,"Labour",0
1787,"ELDER, JA","1993-11-06",0,0,0,0,3,"Labour",0
1806,"Townshend CB","1987-08-15",0,0,0,0,3,"National",0
1816,"Hercus MA","1987-08-15",0,0,0,0,3,"Labour",1
1822,"De Cleene TA","1990-10-27",0,0,0,0,3,"Labour",1
1830,"KIDD, DOUGLAS LORIMER","1999-11-27",0,0,0,0,7,"National",1
1871,"Wellington ML","1990-10-27",0,0,0,0,4,"National",0
1891,"BANKS, JOHN","1999-11-27",0,0,0,0,6,"National",1
1893,"EAST, P","1996-10-12",0,1,0,0,6,"National",1
1902,"CAYGILL, D","1996-10-12",0,0,0,0,6,"Labour",0
1919,"McLean I","1990-10-27",0,0,0,0,4,"National",0
1921,"RICHARDSON, R","1996-10-12",0,1,1,0,5,"National",1
1969,"Palmer GWR","1990-10-27",0,1,1,0,4,"Labour",1
1994,"Matthewson, C","1996-10-12",0,0,0,0,4,"Labour",0
2009,"Burdon, P","1996-10-12",0,0,0,0,5,"National",1
2015,"LEE, GE","1993-11-06",0,0,0,0,4,"National",1
2042,"CLARK, H","1996-10-12",0,0,0,0,5,"Labour",0
2044,"Woollaston PTE","1990-10-27",0,0,0,0,3,"Labour",1
2111,"MCCLAY, R","1996-10-12",0,0,0,0,5,"National",1
2119,"UPTON, S","1996-10-12",0,1,1,0,5,"National",1
2123,"Boorman RG","1984-07-14",0,0,0,0,1,"Labour",0
2130,"Angus DA","1990-10-27",0,0,0,0,3,"National",0
2133,"WILDE, F","1993-11-06",0,0,0,0,4,"Labour",0
2183,"Fraser LA","1990-10-27",0,0,0,0,2,"Labour",1
2206,"KEALL, Judy","2002-07-27",0,0,0,0,3,"Labour",1
2243,"Smith, L","1996-10-12",0,1,0,0,4,"National",1
2333,"Well GA","1987-08-15",0,0,0,0,1,"Labour",1
2342,"GERARD, JIM","1999-11-27",0,0,0,0,5,"National",1
2346,"MARSHALL, DENIS","1999-11-27",0,0,0,0,5,"National",1
2348,"GRAHAM, DA","1996-10-12",0,1,1,0,4,"National",1
2371,"ANDERTON, Jim","2011-11-26",0,1,0,0,9,"Progressive",0
2380,"MAXWELL, ROGER","1999-11-27",0,0,0,0,5,"National",1
2405,"STOREY, R","1996-10-12",0,1,0,0,4,"National",1
2409,"O'REGAN, KATHERINE","1999-11-27",0,0,0,0,5,"National",1
2445,"AUSTIN, M","1996-10-12",0,0,0,0,4,"Labour",0
2455,"SHIPLEY, Jenny","2002-07-27",0,0,0,0,5,"National",0
2464,"SUTHERLAND, LARRY","1999-11-27",0,0,0,0,4,"Labour",0
2468,"GRANT, JJ","1993-11-06",0,0,0,0,2,"National",1
2470,"Carter, J","1996-10-12",0,0,0,0,3,"National",1
2489,"KYD, Warren","2002-07-27",0,0,0,0,5,"National",0
2531,"Laws, M","1996-10-12",0,0,0,0,2,"National",1
2534,"Meurant AR","1990-10-27",0,0,0,0,1,"National",0
2539,"Tennet, E","1996-10-12",0,0,0,0,3,"Labour",0
