Riding	Date	Candidate	Party	Votes	Elected
Christchurch Central	11/29/1975	Wealleans Mrs CP	IBC	37	0
Christchurch Central	11/25/1978	Barclay BG	LAB	10229	1
Christchurch Central	11/25/1978	Clucas MG	NAT	4282	0
Christchurch Central	11/25/1978	Gyde RM	SC	1564	0
Christchurch Central	11/25/1978	Duff R	V	616	0
Christchurch Central	11/25/1978	Gourley MW	SA	30	0
Christchurch Central	8/18/1979	Palmer GWR	LAB	6149	1
Christchurch Central	8/18/1979	Heffernan TM	SC	1759	0
Christchurch Central	8/18/1979	Duncan DP	NAT	1634	0
Christchurch Central	8/18/1979	Sadler Miss SA	T	26	0
Christchurch Central	8/18/1979	Hansen CM	EE	10	0
Christchurch Central	11/28/1981	Palmer GWR	LAB	10793	1
Christchurch Central	11/28/1981	Wilson IGB	NAT	3765	0
Christchurch Central	11/28/1981	Admore PE	SC	2426	0
Christchurch Central	11/28/1981	Iversen WEC	CL	78	0
Christchurch Central	7/14/1984	Palmer GWR	LAB	13394	1
Christchurch Central	7/14/1984	Willy AAP	NAT	4886	0
Christchurch Central	7/14/1984	Ludemann M	NZP	2072	0
Christchurch Central	7/14/1984	Pounsford JE	SC	662	0
Christchurch Central	7/14/1984	Sadler Miss SA	I	123	0
Christchurch Central	8/15/1987	Palmer GWR	LAB	11836	1
Christchurch Central	8/15/1987	Burnett GLB	AT	5031	0
Christchurch Central	8/15/1987	Punsford JE	DEM	577	0
Christchurch Central	8/15/1987	Daniels JK	BF	235	0
Christchurch Central	8/15/1987	Brereton Ms FJ	SA	196	0
Christchurch Central	8/15/1987	Hanlon DJ	W	119	0
Christchurch Central	8/15/1987	Symons SV	V	85	0
Christchurch Central	8/15/1987	Yeoman Mrs LM	NZP	70	0
Christchurch North	7/14/1984	Moore MK	LAB	12350	1
Christchurch North	7/14/1984	Dumergue DJL	NAT	6662	0
Christchurch North	7/14/1984	Nicholson SJ	NZP	2047	0
Christchurch North	7/14/1984	Langridge TE	SC	679	0
Christchurch North	7/14/1984	McArthur RD	V	101	0
Christchurch North	8/15/1987	Moore MK	LAB	12420	1
Christchurch North	8/15/1987	McNeill BA	NAT	7722	0
Christchurch North	8/15/1987	Sadler MBC	DEM	499	0
Christchurch North	8/15/1987	Appleby JW	W	145	0
Clevedon	8/15/1987	Kyd WJ	NAT	91289	1
Clevedon	8/15/1987	Goffin Ms LF	LIB	8302	0
Clevedon	8/15/1987	Pilgrim GC	DEM	664	0
Clutha	11/27/1946	Roy JAMcL	NAT	7656	1
Clutha	11/27/1946	Thompson JP	LAB	5516	0
Clutha	11/30/1949	Roy JAMcL	NAT	8133	1
Clutha	11/30/1949	Keenan JE	LAB	4903	0
