Riding	Date	Candidate	Party	Votes	Elected
Sydenham	11/25/1978	Heffernan TM	SC	2463	0
Sydenham	11/25/1978	Lea A	V	610	0
Sydenham	11/25/1978	Black R	SU	27	0
Sydenham	11/25/1978	Hansen CM	EE	11	0
Sydenham	11/28/1981	Kirk NJ	LAB	10232	1
Sydenham	11/28/1981	Bach RR	SC	4638	0
Sydenham	11/28/1981	Sykes WB	NAT	4330	0
Sydenham	11/28/1981	Hansen CM	NZEE	191	0
Sydenham	7/14/1984	Anderton JP	LAB	11789	1
Sydenham	7/14/1984	Bonisch EL	NAT	4534	0
Sydenham	7/14/1984	Bach RR	SC	2461	0
Sydenham	7/14/1984	Blackadder AM	NZP	2324	0
Sydenham	7/14/1984	Scholes P	V	142	0
Sydenham	7/14/1984	Hansen CM	EE	46	0
Sydenham	8/15/1987	Anderton JP	LAB	12241	1
Sydenham	8/15/1987	Harrington Ms JM	NAT	5805	0
Sydenham	8/15/1987	Minchington NW	DEM	794	0
Sydenham	8/15/1987	Holliday RJ	NZP	124	0
Sydenham	8/15/1987	Wilkins PJ	W	107	0
Sydenham	8/15/1987	Hansen CM	EE	105	0
Sydenham	8/15/1987	McArthur RD	V	91	0
Sydenham	8/15/1987	Mundy CP	DW	24	0
Tamaki	11/27/1946	Skinner TE	LAB	6781	1
Tamaki	11/27/1946	Wales JGC	NAT	6550	0
Tamaki	11/30/1949	Halstead EH	NAT	8364	1
Tamaki	11/30/1949	Skinner TE	LAB	7269	0
Tamaki	11/30/1949	Jordan FC	ISC	123	0
Tamaki	9/1/1951	Halstead EH	NAT	9504	1
Tamaki	9/1/1951	Skinner TE	LAB	8043	0
Tamaki	9/1/1951	Wood Mrs EM	UWF	84	0
Tamaki	11/13/1954	Halstead EH	NAT	8665	1
Tamaki	11/13/1954	Curran PT	LAB	6679	0
Tamaki	11/13/1954	Robertson KED	SC	910	0
Tamaki	11/30/1957	Tizard RJ	LAB	7749	1
Tamaki	11/30/1957	Halstead EH	NAT	7160	0
Tamaki	11/30/1957	Norris J	SC	400	0
Tamaki	11/26/1960	Muldoon RD	NAT	8728	1
Tamaki	11/26/1960	Tizard RJ	LAB	7580	0
Tamaki	11/26/1960	McGowan EE	SC	352	0
Tamaki	11/26/1960	Smith Mrs RC	C	77	0
Tamaki	11/30/1963	Muldoon RD	NAT	9645	1
Tamaki	11/30/1963	Finch N	LAB	5891	0
Tamaki	11/30/1963	Richards JF	SC	382	0
Tamaki	11/30/1963	Allen RA	LIB	307	0
Tamaki	11/30/1963	McEwan D	C	94	0
Tamaki	11/26/1966	Muldoon RD	NAT	9248	1
Tamaki	11/26/1966	Ryan K	LAB	6421	0
Tamaki	11/26/1966	Branch KHA	SC	1032	0
Tamaki	11/29/1969	Muldoon RD	NAT	11513	1
Tamaki	11/29/1969	Bolton AD	LAB	5425	0
Tamaki	11/29/1969	Branch KHA	SC	496	0
Tamaki	11/29/1969	Thorpy Mrs GM	WIP	239	0
Tamaki	11/25/1972	Muldoon RD	NAT	10146	1
Tamaki	11/25/1972	Hedger AH	LAB	5556	0
Tamaki	11/25/1972	Jessup GR	V	876	0
Tamaki	11/25/1972	Robinson J	SC	714	0
Tamaki	11/25/1972	Andersen GH	su	108	0
Tamaki	11/25/1972	Higdon EW	s	83	0
Tamaki	11/25/1972	Mullenger GV	IN	48	0
Tamaki	11/25/1972	Upton IH	ND	31	0
Tamaki	11/29/1975	Muldoon RD	NAT	11836	1
Tamaki	11/29/1975	Kaye CT	LAB	5101	0
Tamaki	11/29/1975	Impey BG	V	1258	0
Tamaki	11/29/1975	Stevens DJ	SC	725	0
Tamaki	11/29/1975	Andersen GH	su	39	0
Tamaki	11/29/1975	Higdon EW	s	12	0
Tamaki	11/25/1978	Muldoon RD	NAT	11814	1
Tamaki	11/25/1978	Cooke-Pennefeather	LAB	5504	0
Tamaki	11/25/1978	Tasker	SC	2360	0
Tamaki	11/25/1978	Woolnough J	V	791	0
Tamaki	11/25/1978	Harden D	PN	276	0
Tamaki	11/25/1978	Andersen GH	SU	62	0
Tamaki	11/25/1978	Grace PTP	ADG	22	0
Tamaki	11/25/1978	Greig AH	UN	8	0
Tamaki	11/28/1981	Muldoon RD	NAT	11543	1
Tamaki	11/28/1981	Northey RJ	LAB	6390	0
Tamaki	11/28/1981	Stevens DJ	SC	3449	0
Tamaki	11/28/1981	Andersen GH	SU	188	0
Tamaki	7/14/1984	Muldoon Sir Robert	NAT	10414	1
Tamaki	7/14/1984	Tulloch R	LAB	6656	0
Tamaki	7/14/1984	Hodgson J	NZP	4545	0
Tamaki	7/14/1984	Hagen EA	SC	616	0
Tamaki	7/14/1984	Cunningham BM	V	93	0
Tamaki	7/14/1984	Hall S	NZWP	89	0
Tamaki	7/14/1984	Butler DB	PF	51	0
Tamaki	8/15/1987	Muldoon Sir Robert	NAT	10466	1
Tamaki	8/15/1987	Harding C	LAB	8519	0
Tamaki	8/15/1987	Pittams RJ	DEM	668	0
Tamaki	8/15/1987	Roberts DT	NZP	343	0
Tamaki	8/15/1987	Symondson B	V	119	0
Taranaki	11/25/1978	Thomson DS	NAT	8968	1
Taranaki	11/25/1978	Tracey KA	SC	4395	0
Taranaki	11/25/1978	Morrison W	LAB	4351	0
Taranaki	11/25/1978	Winter PL	V	384	0
Taranaki	11/28/1981	Thomson DS	NAT	10116	1
Taranaki	11/28/1981	Heilihy BJ	SC	5376	0
Taranaki	11/28/1981	White Ms FG	LAB	3838	0
Taranaki	11/28/1981	Steward RJ	V	222	0
Taranaki	7/14/1984	Maxwell RFH	NAT	10855	1
Taranaki	7/14/1984	Waters GN	LAB	4842	0
Taranaki	7/14/1984	McCready BA	NZP	2197	0
Taranaki	7/14/1984	Kirk BG	SC	1845	0
Taranaki	7/14/1984	Muggeridge AJ	V	215	0
Taranaki	8/15/1987	Maxwell RFH	NAT	11494	1
Taranaki	8/15/1987	Jackson PEE	LAB	5181	0
Taranaki	8/15/1987	Satherley Ms AM	DEM	1064	0
Taranaki	8/15/1987	Roborgh Mrs JM	V	300	0
Tarawera	11/25/1978	McLean I	NAT	7073	1
Tarawera	11/25/1978	Stewart JJ	LAB	5051	0
Tarawera	11/25/1978	Blaymires CA	SC	3636	0
Tarawera	11/25/1978	Odey GW	V	304	0
Tarawera	11/28/1981	McLean I	NAT	7921	1
Tarawera	11/28/1981	Scott N	LAB	5479	0
Tarawera	11/28/1981	Blaymires CA	SC	4195	0
Tarawera	7/14/1984	McLean I	NAT	8884	1
Tarawera	7/14/1984	Moore MR	LAB	5507	0
Tarawera	7/14/1984	Blackley Miss C	NZP	2874	0
Tarawera	7/14/1984	Blaymires CA	SC	1054	0
Tarawera	7/14/1984	Hickson TC	V	88	0
Tarawera	8/15/1987	McLean I	NAT	9527	1
Tarawera	8/15/1987	Moore MR	LAB	5950	0
Tarawera	8/15/1987	Blaymires CA	DEM	734	0
Tasman	11/25/1972	Rowling WE	LAB	8046	1
Tasman	11/25/1972	Hunt GH	NAT	6212	0
Tasman	11/25/1972	Bundson JB	SC	882	0
Tasman	11/25/1972	Eggers GK	ND	177	0
Tasman	11/29/1975	Rowling WE	LAB	8344	1
Tasman	11/29/1975	Malone PH	NAT	7815	0
Tasman	11/29/1975	Muller R	SC	1020	0
Tasman	11/29/1975	McGrath Mrs PJ	V	693	0
Tasman	11/29/1975	Hayter AG	I	238	0
Tasman	11/25/1978	Rowling WE	LAB	8973	1
Tasman	11/25/1978	Richardson Miss RM	NAT	7179	0
Tasman	11/25/1978	Muller R	SC	1726	0
Tasman	11/25/1978	McGrath Mrs PJ	V	362	0
Tasman	11/25/1978	Vine	P	40	0
Tasman	11/28/1981	Rowling WE	LAB	8803	1
Tasman	11/28/1981	Krammer EL	NAT	6557	0
Tasman	11/28/1981	King PB	SC	3664	0
Tasman	11/28/1981	Waldron SK	I	99	0
Tasman	7/14/1984	Shirley KL	LAB	9543	1
Tasman	7/14/1984	Hunt GH	NAT	7689	0
Tasman	7/14/1984	Hayter AG	NZP	1714	0
Tasman	7/14/1984	King PB	SC	1551	0
Tasman	7/14/1984	Waldron SK	ER	74	0
Tasman	8/15/1987	Shirley KL	LAB	10262	1
Tasman	8/15/1987	Hunt GH	NAT	9250	0
Tasman	8/15/1987	Muller R	DEM	453	0
Tasman	8/15/1987	Monahan H	I	105	0
Tasman	8/15/1987	Lister PD	V	99	0
Tasman	8/15/1987	Waldron SK	ER	44	0
Taupo	11/30/1963	Stevenson Mrs RM	NAT	5995	1
Taupo	11/30/1963	Ingram AJ	LAB	5720	0
Taupo	11/30/1963	Watson CR	SC	1093	0
Taupo	11/26/1966	Stevenson Mrs RM	NAT	6608	1
Taupo	11/26/1966	Gustafson BS	LAB	6350	0
Taupo	11/26/1966	Dunn JC	SC	1719	0
Taupo	11/29/1969	Stevenson Mrs RM	NAT	7148	1
Taupo	11/29/1969	Ingram AJ	LAB	7041	0
Taupo	11/29/1969	New Mrs HM	SC	1296	0
Taupo	11/25/1972	Ridley JW	LAB	7484	1
Taupo	11/25/1972	Higgins JF	NAT	6701	0
Taupo	11/25/1972	Smith RW	SC	711	0
Taupo	11/25/1972	Fairweather Mrs ND	ND	111	0
Taupo	11/25/1972	Fenton PM	LR	76	0
Taupo	11/29/1975	La Varis RJ	NAT	8821	1
Taupo	11/29/1975	Ridley JW	LAB	7207	0
Taupo	11/29/1975	Gould Ms DM	SC	1177	0
Taupo	11/29/1975	Grant JA	V	862	0
Taupo	11/25/1978	Ridley JW	LAB	7119	1
Taupo	11/25/1978	Miller Mrs LA	NAT	6510	0
Taupo	11/25/1978	Elder JW	SC	2798	0
Taupo	11/25/1978	Keys WB	V	477	0
Taupo	11/28/1981	McClay RN	NAT	6883	1
Taupo	11/28/1981	Ridley JW	LAB	6847	0
Taupo	11/28/1981	Elder JW	SC	4175	0
Tauranga	11/27/1946	Doidge FW	NAT	7931	1
Tauranga	11/27/1946	Hill DA	LAB	5227	0
Tauranga	11/30/1949	Doidge FW	NAT	9330	1
Tauranga	11/30/1949	Pickett HJ	LAB	4735	0
Tauranga	9/1/1951	Walsh GA	NAT	10043	1
Tauranga	9/1/1951	Pickett HJ	LAB	4643	0
Tauranga	11/13/1954	Walsh GA	NAT	7846	1
Tauranga	11/13/1954	Liddell OP	LAB	4398	0
Tauranga	11/13/1954	Whyte EJ	SC	1311	0
Tauranga	11/30/1957	Walsh GA	NAT	7814	1
Tauranga	11/30/1957	Liddell OP	LAB	4472	0
Tauranga	11/30/1957	McGowan EE	SC	2127	0
Tauranga	11/26/1960	Walsh GA	NAT	9120	1
Tauranga	11/26/1960	Goodfellow DC	LAB	3881	0
Tauranga	11/26/1960	Young RG	SC	2563	0
Tauranga	11/30/1963	Walsh GA	NAT	8738	1
Tauranga	11/30/1963	Hardaker GWS	LAB	4193	0
Tauranga	11/30/1963	Johnson RW	SC	2670	0
Tauranga	11/26/1966	Walsh GA	NAT	8040	1
Tauranga	11/26/1966	Smuts-Knnedy MrsOE	LAB	5741	0
Tauranga	11/26/1966	Johnson RW	SC	3170	0
Tauranga	11/29/1969	Walsh GA	NAT	9742	1
Tauranga	11/29/1969	Dillon RF	LAB	7038	0
Tauranga	11/29/1969	Stuart-Menzies JAB	SC	1662	0
Tauranga	11/29/1969	Emeny CS	CP	115	0
Tauranga	11/25/1972	Allen KR	NAT	8902	1
Tauranga	11/25/1972	Uttinger HJ	LAB	6687	0
Tauranga	11/25/1972	Mills RL	SC	1907	0
Tauranga	11/25/1972	MacGillivray CP	V	596	0
Tauranga	11/25/1972	Owen WB	ND	288	0
Tauranga	11/29/1975	Allen KR	NAT	11517	1
Tauranga	11/29/1975	Hendry RJ	LAB	6674	0
Tauranga	11/29/1975	Mills RL	SC	2571	0
Tauranga	11/29/1975	Kent Ms DL	V	1036	0
Tauranga	11/25/1978	Allen KR	NAT	8924	1
Tauranga	11/25/1978	Hills TP	SC	5606	0
Tauranga	11/25/1978	Steele-Boyce CW	LAB	4665	0
Tauranga	11/25/1978	Neville A	V	433	0
Tauranga	11/28/1981	Allen KR	NAT	9694	1
Tauranga	11/28/1981	Hills TP	SC	7462	0
Tauranga	11/28/1981	Fryer Ms GJ	LAB	4338	0
Tauranga	11/28/1981	MacGillivray CP	I	532	0
Tauranga	11/28/1981	Wait CM	V	121	0
Tauranga	7/14/1984	Peters WR	NAT	9716	1
Tauranga	7/14/1984	Parlour DJ	NZP	4804	0
Tauranga	7/14/1984	Howard TE	LAB	4667	0
Tauranga	7/14/1984	Hills TP	SC	3793	0
Tauranga	8/15/1987	Peters WR	NAT	11256	1
Tauranga	8/15/1987	Seddon Ms JM	LAB	8805	0
Tauranga	8/15/1987	Oster G	DEM	1009	0
Te Atatu	11/25/1978	Bassett MER	LAB	8640	1
Te Atatu	11/25/1978	Cross WR	NAT	5821	0
Te Atatu	11/25/1978	Rawson JG	SC	2923	0
Te Atatu	11/25/1978	Bartle Mrs DC	V	250	0
Te Atatu	11/28/1981	Bassett MER	LAB	8577	1
Te Atatu	11/28/1981	Noble Ms S	NAT	5247	0
Te Atatu	11/28/1981	Wilson RS	SC	4009	0
Te Atatu	7/14/1984	Bassett MER	LAB	10786	1
Te Atatu	7/14/1984	Diment FWG	NAT	5795	0
Te Atatu	7/14/1984	Phillips GA	NZP	1972	0
Te Atatu	7/14/1984	Jackson Ms MV	SC	1090	0
Te Atatu	7/14/1984	Prout GR	I	126	0
Te Atatu	8/15/1987	Bassett MER	LAB	10044	1
Te Atatu	8/15/1987	Neeson BK	NAT	7795	0
Te Atatu	8/15/1987	Jackson Ms MV	DEM	906	0
Te Atatu	8/15/1987	Oxton Ms GM	NZP	140	0
Timaru	11/27/1946	Carr CL	LAB	7005	1
Timaru	11/27/1946	Acland J	NAT	6485	0
Timaru	11/30/1949	Carr CL	LAB	7364	1
Timaru	11/30/1949	Lockington JF	NAT	6532	0
Timaru	9/1/1951	Carr CL	LAB	7265	1
Timaru	9/1/1951	Richards WL	NAT	6701	0
Timaru	11/13/1954	Carr CL	LAB	6241	1
Timaru	11/13/1954	Wilson VW	NAT	4818	0
Timaru	11/13/1954	Edmonds GM	SC	2853	0
Timaru	11/30/1957	Carr CL	LAB	8379	1
Timaru	11/30/1957	Davey AJ	NAT	6657	0
Timaru	11/30/1957	Isitt FC	SC	562	0
Timaru	11/26/1960	Carr CL	LAB	7617	1
Timaru	11/26/1960	White RE	NAT	7260	0
Timaru	11/26/1960	Isitt FC	SC	542	0
Timaru	11/26/1960	Rae JR	PPI	90	0
Timaru	7/21/1962	Arthur Sir Basil	LAB	7578	1
Timaru	7/21/1962	Quigley DF	NAT	6271	0
Timaru	7/21/1962	Hayes MJ	SC	572	0
Timaru	11/30/1963	Arthur Sir Basil	LAB	9334	1
Timaru	11/30/1963	O'Reilly MJ	NAT	6503	0
Timaru	11/30/1963	Hayes MJ	SC	729	0
Timaru	11/26/1966	Arthur Sir Basil	LAB	8929	1
Timaru	11/26/1966	Brown NS	NAT	5821	0
Timaru	11/26/1966	Hayes MJ	SC	1464	0
Timaru	11/29/1969	Arthur Sir Basil	LAB	9412	1
Timaru	11/29/1969	Walker DAJ	NAT	6311	0
Timaru	11/29/1969	Hayes MJ	SC	1084	0
Timaru	11/25/1972	Arthur Sir Basil	LAB	9760	1
Timaru	11/25/1972	Walker DAJ	NAT	5806	0
Timaru	11/25/1972	Body Mrs JHL	SC	599	0
Timaru	11/25/1972	Lister PD	V	403	0
Timaru	11/25/1972	Armstrong DW	ND	186	0
Timaru	11/29/1975	Arthur Sir Basil	LAB	8815	1
Timaru	11/29/1975	Walker DAJ	NAT	7804	0
Timaru	11/29/1975	Rapsey EH	SC	1140	0
Timaru	11/29/1975	Mold Ms ME	V	803	0
Timaru	11/25/1978	Arthur Sir Basil	LAB	9977	1
Timaru	11/25/1978	Penno WS	NAT	7794	0
Timaru	11/25/1978	Rapsey EH	SC	2180	0
Timaru	11/25/1978	Durand LA	V	512	0
Timaru	11/28/1981	Arthur Sir Basil	LAB	9281	1
Timaru	11/28/1981	Coughlan Ms MJ	NAT	7431	0
Timaru	11/28/1981	Simmons Miss LR	SC	4015	0
Timaru	7/14/1984	Arthur Sir Basil	LAB	11033	1
Timaru	7/14/1984	McTigue MP	NAT	8814	0
Timaru	7/14/1984	Musgrave Mrs CJ	NZP	1855	0
Timaru	7/14/1984	Simmons Miss LR	SC	1217	0
Timaru	6/15/1985	McTigue MP	NAT	9371	1
Timaru	6/15/1985	Walker Ms JH	LAB	7879	0
Timaru	6/15/1985	Greenslade WP	NZP	2998	0
Timaru	6/15/1985	Simmons Miss LR	SC	1628	0
Timaru	6/15/1985	Luck JSB	V	54	0
Timaru	6/15/1985	Falloon AS	NL	31	0
Timaru	8/15/1987	McTigue MP	NAT	10870	1
Timaru	8/15/1987	Clarke GJ	LAB	10013	0
Timaru	8/15/1987	Simmons Miss LR	DEM	488	0
Timaru	8/15/1987	Lusby SR	CS	53	0
Timaru	8/15/1987	Simpson JMcG	NZP	53	0
Titirangi	8/15/1987	Maxwell RK	LAB	10379	1
Titirangi	8/15/1987	McIntosh JC	NAT	6255	0
Titirangi	8/15/1987	Burgering CR	DEM	1152	0
Tongariro	7/14/1984	Scott N	LAB	8490	1
Tongariro	7/14/1984	Rangi NF	NAT	4620	0
Tongariro	7/14/1984	Elder JW	SC	2680	0
Tongariro	7/14/1984	Low HJG	NZP	923	0
Tongariro	7/14/1984	Ridley JW	I	502	0
Tongariro	8/15/1987	Scott N	LAB	8826	1
Tongariro	8/15/1987	Peters LI	NAT	6456	0
Tongariro	8/15/1987	Tibbie RT	DEM	565	0
Waikaremoana	7/14/1984	McClay RN	NAT	7997	1
Waikaremoana	7/14/1984	Hare JN	LAB	6260	0
Waikaremoana	7/14/1984	Plummer TJ	NZP	2653	0
Waikaremoana	7/14/1984	Robinson Mrs PJ	SC	735	0
Waikaremoana	7/14/1984	Alford NW	IHH	40	0
Waikaremoana	8/15/1987	McClay RN	NAT	9897	1
Waikaremoana	8/15/1987	Stewart TK	LAB	6087	0
Waikaremoana	8/15/1987	Harris AJ	DEM	593	0
Waikato	11/27/1946	Sim GF	NAT	8782	1
Waikato	11/27/1946	Dwyer J	LAB	4397	0
Waikato	11/30/1949	Sim GF	NAT	9422	1
Waikato	11/30/1949	Burfitt JR	LAB	3499	0
Waikato	9/1/1951	Sim GF	NAT	9410	1
Waikato	9/1/1951	Bayly WH	LAB	3041	0
Waikato	9/1/1951	Wright RV	I LIB	150	0
Waikato	11/13/1954	Sim GF	NAT	8538	1
Waikato	11/13/1954	Tucker AC	LAB	3840	0
Waikato	11/13/1954	Rose EG	SC	1130	0
Waikato	11/30/1957	Sim GF	NAT	6677	1
Waikato	11/30/1957	Ingram AJ	LAB	4664	0
Waikato	11/30/1957	Crawley GT	SC	1139	0
Waikato	11/26/1960	Sim GF	NAT	7403	1
Waikato	11/26/1960	Ingram AJ	LAB	4362	0
Waikato	11/26/1960	Pemberton RF	SC	1192	0
Waikato	11/29/1969	Adams-Schneider LR	NAT	8403	1
Waikato	11/29/1969	George AE	LAB	4995	0
Waikato	11/29/1969	Young KH	SC	2225	0
Waikato	11/29/1969	Ambury AJ	CP	416	0
Waikato	11/25/1972	Adams-Schneider LR	NAT	7926	1
Waikato	11/25/1972	Reese RD	LAB	3718	0
Waikato	11/25/1972	Young KH	SC	1577	0
Waikato	11/25/1972	Caird AMcN	I	445	0
Waikato	11/25/1972	Ambury AJ	LR	116	0
Waikato	11/25/1972	Sutton TJ	ND	54	0
Waikato	11/29/1975	Adams-Schneider LR	NAT	10273	1
Waikato	11/29/1975	West BG	LAB	3200	0
Waikato	11/29/1975	Kilbride JI	SC	2003	0
Waikato	11/29/1975	Horrocks Ms VJO	V	642	0
Waikato	11/25/1978	Adams-Schneider LR	NAT	9249	1
Waikato	11/25/1978	West BG	LAB	4186	0
Waikato	11/25/1978	Johnstone NW	SC	3898	0
Waikato	11/25/1978	Parke HR	V	369	0
Waikato	11/28/1981	Upton SD	NAT	9932	1
Waikato	11/28/1981	Johnstone NW	SC	5271	0
Waikato	11/28/1981	Smith GN	LAB	4596	0
Waikato	11/28/1981	Perrott S	SU	74	0
Waikato	7/14/1984	Storey WR	NAT	8037	1
Waikato	7/14/1984	Cleave PJ	LAB	6379	0
Waikato	7/14/1984	Walker AA	NZP	2286	0
Waikato	7/14/1984	Johnstone NW	SC	1326	0
Waikato	7/14/1984	Cairns GW	MS	117	0
Waikato	8/15/1987	Storey WR	NAT	10599	1
Waikato	8/15/1987	Raitt BC	LAB	6444	0
Waikato	8/15/1987	Johnstone AN	DEM	750	0
Waikato	8/15/1987	Locker RH	LIND	203	0
Waikato	8/15/1987	Fisher MJ	MS	148	0
Waikato	8/15/1987	Edwards Ms S	NZP	129	0
Waimarino	11/27/1946	Kearins PR	LAB	6755	1
Waimarino	11/27/1946	Hill NR	NAT	6074	0
Waimarino	11/30/1949	Kearins PR	LAB	7319	1
Waimarino	11/30/1949	MacPherson AM	NAT	7117	0
Waimarino	9/1/1951	Kearins PR	LAB	7456	1
Waimarino	9/1/1951	MacPherson AM	NAT	7389	0
Waimarino	11/30/1963	Jack RE	NAT	6673	1
Waimarino	11/30/1963	Smuts-KennedyMrsOE	LAB	4888	0
Waimarino	11/30/1963	Mullins TG	SC	1721	0
Waimarino	11/30/1963	Duggan J	LIB	247	0
Waimarino	11/26/1966	Jack RE	NAT	6416	1
Waimarino	11/26/1966	Cameron SA	LAB	3925	0
Waimarino	11/26/1966	Luford LV	SC	2442	0
Waimarino	11/29/1969	Jack RE	NAT	7939	1
Waimarino	11/29/1969	Cameron SA	LAB	5726	0
Waimarino	11/29/1969	Dempsey GR	SC	1724	0
Waimarino	11/29/1969	Emeny CS	CP	258	0
Waimate	11/27/1946	Kidd DC	NAT	6922	1
Waimate	11/27/1946	Davison WR	LAB	6133	0
Waimate	11/30/1949	Kidd DC	NAT	7426	1
Waimate	11/30/1949	Davison WR	LAB	5659	0
Waimate	11/30/1949	Hayes MJ	I	217	0
Waimate	9/1/1951	Kidd DC	NAT	7256	1
Waimate	9/1/1951	Braddick AG	LAB	5024	0
Waimate	9/1/1951	Hayes MJ	SCA	374	0
Waimate	11/13/1954	Davey AJ	NAT	6576	1
Waimate	11/13/1954	Pickering NG	LAB	4238	0
Waimate	11/13/1954	Hayes MJ	SC	2375	0
Waipa	11/13/1954	Goosman WS	NAT	7237	1
Waipa	11/13/1954	Gallagher HF	LAB	2802	0
Waipa	11/13/1954	Thompson Mrs SM	SC	1321	0
Waipa	11/30/1957	Johnstone H	NAT	7197	1
Waipa	11/30/1957	Tucker AC	LAB	5384	0
Waipa	11/30/1957	Bennett TWO	SC	1622	0
Waipa	11/26/1960	Johnstone H	NAT	8544	1
Waipa	11/26/1960	Reese RD	LAB	5303	0
Waipa	11/26/1960	Bennett TWO	SC	1795	0
Waipa	11/30/1963	Munro Sir Leslie	NAT	7260	1
Waipa	11/30/1963	Little RN	LAB	4095	0
Waipa	11/30/1963	Young RG	SC	1217	0
Waipa	11/30/1963	Bourke WJ	LIB	644	0
Waipa	11/26/1966	Munro Sir Leslie	NAT	6682	1
Waipa	11/26/1966	Shewan NRD	LAB	3601	0
Waipa	11/26/1966	Young KH	SC	3027	0
Waipa	11/25/1978	Waring Ms MJ	NAT	9360	1
Waipa	11/25/1978	Kilbride JI	SC	4454	0
Waipa	11/25/1978	Rogers AJ	LAB	3809	0
Waipa	11/25/1978	Murtagh DM	V	223	0
Waipa	11/28/1981	Waring Ms MJ	NAT	9461	1
Waipa	11/28/1981	Kilbride JI	SC	6693	0
Waipa	11/28/1981	Trim PW	LAB	3301	0
Waipa	11/28/1981	Murgatroyd CG	W	125	0
Waipa	7/14/1984	O'Regan Mrs KV	NAT	9510	1
Waipa	7/14/1984	Allen AH	LAB	3843	0
Waipa	7/14/1984	Kilbride JI	SC	3832	0
Waipa	7/14/1984	Griffin MK	NZP	1713	0
Waipa	8/15/1987	O'Regan Mrs KV	NAT	11378	1
Waipa	8/15/1987	Holmes Ms LF	LAB	5075	0
Waipa	8/15/1987	Bishop IK	DEM	1272	0
Waipa	8/15/1987	Maisey AA	I	258	0
Waipa	8/15/1987	Sutcliffe DA	MS	172	0
Wairarapa	11/27/1946	Mackley GH	NAT	7095	1
Wairarapa	11/27/1946	Hansen GA	LAB	6860	0
Wairarapa	11/30/1949	Cooksley BV	NAT	7596	1
Wairarapa	11/30/1949	Hansen GA	LAB	6633	0
Wairarapa	9/1/1951	Cooksley BV	NAT	8155	1
Wairarapa	9/1/1951	Hansen GA	LAB	6123	0
Wairarapa	11/13/1954	Cooksley BV	NAT	7160	1
Wairarapa	11/13/1954	Wilkie RS	LAB	5469	0
Wairarapa	11/13/1954	Feast JE	SC	1890	0
Wairarapa	11/30/1957	Cooksley BV	NAT	7121	1
Wairarapa	11/30/1957	Wilkie RS	LAB	6063	0
Wairarapa	11/30/1957	Feast JE	SC	1588	0
Wairarapa	11/26/1960	Cooksley BV	NAT	7887	1
Wairarapa	11/26/1960	Goldsmith AG	LAB	5799	0
Wairarapa	11/26/1960	Crawford REC	SC	1450	0
Wairarapa	11/30/1963	Donald HV	NAT	7100	1
Wairarapa	11/30/1963	Williams JH	LAB	6599	0
Wairarapa	11/30/1963	Crawford REC	SC	1154	0
Wairarapa	11/26/1966	Donald HV	NAT	7080	1
Wairarapa	11/26/1966	Williams JH	LAB	6547	0
Wairarapa	11/26/1966	Marks ROC	SC	1745	0
Wairarapa	11/29/1969	Williams JH	LAB	7981	1
Wairarapa	11/29/1969	Donald HV	NAT	7514	0
Wairarapa	11/29/1969	Morrow JH	SC	1121	0
Wairarapa	11/25/1972	Williams JH	LAB	8459	1
Wairarapa	11/25/1972	Couch MBW	NAT	7373	0
Wairarapa	11/25/1972	Morrow JH Jnr	SC	698	0
Wairarapa	11/25/1972	Bunny TC	LR	94	0
Wairarapa	11/25/1972	Knox H	ND	32	0
Wairarapa	11/29/1975	Couch MBW	NAT	9245	1
Wairarapa	11/29/1975	Williams JH	LAB	7777	0
Wairarapa	11/29/1975	Cowl WH	SC	1167	0
Wairarapa	11/29/1975	Ashdown WG	V	514	0
Wairarapa	11/25/1978	Couch MBW	NAT	8968	1
Wairarapa	11/25/1978	Levett AE	LAB	8131	0
Wairarapa	11/25/1978	Cowl WH	SC	2426	0
Wairarapa	11/25/1978	Hackney C	V	258	0
Wairarapa	11/28/1981	Couch MBW	NAT	8569	0
Wairarapa	11/28/1981	Gemmell T	LAB	7023	0
Wairarapa	11/28/1981	Cowl WH	SC	3936	0
Wairarapa	11/28/1981	Boorman RG	LAB	9009	1
Wairarapa	7/14/1984	Couch MBW	NAT	8615	1
Wairarapa	7/14/1984	Bliss SC	NZP	2908	0
Wairarapa	7/14/1984	Jury MC	SC	819	0
Wairarapa	8/15/1987	Creech WB	NAT	9994	1
Wairarapa	8/15/1987	Boorman RG	LAB	9960	0
Wairarapa	8/15/1987	Shakes GJ	DEM	546	0
Waitakere	11/27/1946	Mason HGR	LAB	8285	1
Waitakere	11/27/1946	Laing AM	NAT	5488	0
Waitakere	11/27/1946	Allen F	I	235	0
Waitakere	11/30/1949	Mason HGR	LAB	8341	1
Waitakere	11/30/1949	Tapper R	NAT	7411	0
Waitakere	11/30/1949	Jackson GE	C	386	0
Waitakere	9/1/1951	Mason HGR	LAB	9132	1
Waitakere	9/1/1951	Tapper R	NAT	8491	0
Waitakere	11/13/1954	Mason HGR	LAB	8914	1
Waitakere	11/13/1954	McAllister J	NAT	5490	0
Waitakere	11/13/1954	Monteith NR	SC	1397	0
Waitakere	11/30/1957	Mason HGR	LAB	9263	1
Waitakere	11/30/1957	Bradley LG	NAT	5581	0
Waitakere	11/30/1957	Robertson KED	SC	1204	0
Waitakere	11/26/1960	Mason HGR	LAB	10680	1
