"ID","Name","Party","Date","Electorate","Incumbent","TermsServed","CabinetNow","CabinetEver","CabinetImportant","CabinetPM","Votes","Elected","ElectedList","ElectedElectorate","LastVotes","ListPosition","LastListPosition"
6,"Anderton WT","Labour","1949-11-30","Auckland Central",1,4,0,0,0,0,5863,1,0,1,6865,0,0
178,"Bradley LG","National","1949-11-30","Auckland Central",0,0,0,0,0,0,3064,0,0,0,0,0,0
179,"Mitchell JJ","C","1949-11-30","Auckland Central",0,0,0,0,0,0,237,0,0,0,0,0,0
180,"Jones HK","I","1949-11-30","Auckland Central",0,0,0,0,0,0,73,0,0,0,0,0,0
52,"Mathison J","Labour","1949-11-30","Avon",1,1,0,0,0,0,9877,1,0,1,8513,0,0
181,"Kinzett GW","National","1949-11-30","Avon",0,0,0,0,0,0,5284,0,0,0,0,0,0
10,"Herron GR","National","1949-11-30","Awarua",1,2,0,0,0,0,7997,1,0,1,7651,0,0
182,"Pickering NG","Labour","1949-11-30","Awarua",0,0,0,0,0,0,4818,0,0,0,0,0,0
12,"Sullivan W","National","1949-11-30","Bay of Plenty",1,3,0,0,0,0,8993,1,0,1,7549,0,0
183,"Santon TG","Labour","1949-11-30","Bay of Plenty",0,0,0,0,0,0,5313,0,0,0,0,0,0
14,"Fraser P","Labour","1949-11-30","Brooklyn",1,10,1,1,1,1,7176,1,0,1,8216,0,0
184,"Burns BS","National","1949-11-30","Brooklyn",0,0,0,0,0,0,4220,0,0,0,0,0,0
185,"Birchfield C","C","1949-11-30","Brooklyn",0,0,0,0,0,0,241,0,0,0,0,0,0
16,"Skinner CF","Labour","1949-11-30","Buller",1,3,1,1,0,0,7941,1,0,1,8211,0,0
17,"McDonald PE","National","1949-11-30","Buller",0,0,0,0,0,0,5735,0,0,0,5299,0,0
18,"MacFarlane RM","Labour","1949-11-30","Christchurch Central",1,3,0,0,0,0,7589,1,0,1,8300,0,0
186,"Marlow KJ","National","1949-11-30","Christchurch Central",0,0,0,0,0,0,3952,0,0,0,0,0,0
20,"Ostler A","C","1949-11-30","Christchurch Central",0,0,0,0,0,0,218,0,0,0,302,0,0
21,"Roy JAMcL","National","1949-11-30","Clutha",1,4,0,0,0,0,8133,1,0,1,7656,0,0
187,"Keenan JE","Labour","1949-11-30","Clutha",0,0,0,0,0,0,4903,0,0,0,0,0,0
23,"Connolly PG","Labour","1949-11-30","Dunedin Central",1,2,0,0,0,0,6813,1,0,1,7633,0,0
188,"Murdoch D","National","1949-11-30","Dunedin Central",0,0,0,0,0,0,5824,0,0,0,0,0,0
25,"Walls R","Labour","1949-11-30","Dunedin North",1,2,0,0,0,0,7190,1,0,1,7487,0,0
189,"Brickell RG","National","1949-11-30","Dunedin North",0,0,0,0,0,0,6522,0,0,0,0,0,0
190,"Marston JL","C","1949-11-30","Dunedin North",0,0,0,0,0,0,109,0,0,0,0,0,0
27,"Omana T","Labour","1949-11-30","Eastern Maori",1,2,0,0,0,0,8487,1,0,1,7321,0,0
191,"Carroll AT","National","1949-11-30","Eastern Maori",0,0,0,0,0,0,5276,0,0,0,0,0,0
29,"Fortune WH","National","1949-11-30","Eden",1,1,0,0,0,0,7184,1,0,1,7055,0,0
192,"Curran PT","Labour","1949-11-30","Eden",0,0,0,0,0,0,4925,0,0,0,0,0,0
31,"Corbett EB","National","1949-11-30","Egmont",1,2,0,0,0,0,8693,1,0,1,8135,0,0
193,"Richmond BE","Labour","1949-11-30","Egmont",0,0,0,0,0,0,4154,0,0,0,0,0,0
33,"Holland SG","National","1949-11-30","Fendalton",1,4,0,0,0,0,8362,1,0,1,8065,0,0
194,"Newman RT","Labour","1949-11-30","Fendalton",0,0,0,0,0,0,4286,0,0,0,0,0,0
195,"Gilmour GH","INDLIB","1949-11-30","Fendalton",0,0,0,0,0,0,565,0,0,0,0,0,0
35,"Massey JN","National","1949-11-30","Franklin",1,3,0,0,0,0,9635,1,0,1,8545,0,0
196,"Parsons J","Labour","1949-11-30","Franklin",0,0,0,0,0,0,4154,0,0,0,0,0,0
197,"Keeling RA","Labour","1949-11-30","Gisborne",0,0,0,0,0,0,7534,1,0,1,0,0,0
198,"Dudfield H","National","1949-11-30","Gisborne",0,0,0,0,0,0,7045,0,0,0,0,0,0
39,"Hackett F","Labour","1949-11-30","Grey Lynn",1,2,1,1,0,0,7362,1,0,1,9537,0,0
199,"Faulkner JL","National","1949-11-30","Grey Lynn",0,0,0,0,0,0,3159,0,0,0,0,0,0
200,"Lee JA","DL","1949-11-30","Grey Lynn",0,0,0,0,0,0,2627,0,0,0,0,0,0
41,"Ross GH","National","1949-11-30","Hamilton",1,2,0,0,0,0,7652,1,0,1,6778,0,0
42,"Glanville JJ","Labour","1949-11-30","Hamilton",0,0,0,0,0,0,6047,0,0,0,6451,0,0
201,"Jones SI","National","1949-11-30","Hastings",0,0,0,0,0,0,7965,1,0,1,0,0,0
43,"Cullen EL","Labour","1949-11-30","Hastings",1,4,1,1,0,0,6983,0,0,0,7292,0,0
45,"Sutherland AS","National","1949-11-30","Hauraki",1,3,0,0,0,0,8510,1,0,1,7968,0,0
202,"Peacock P","Labour","1949-11-30","Hauraki",0,0,0,0,0,0,4566,0,0,0,0,0,0
47,"Harker CGE","National","1949-11-30","Hawkes Bay",1,3,0,0,0,0,8406,1,0,1,7755,0,0
48,"Beattie HE","Labour","1949-11-30","Hawkes Bay",0,0,0,0,0,0,4964,0,0,0,5741,0,0
49,"Smith SW","National","1949-11-30","Hobson",1,2,0,0,0,0,9280,1,0,1,8496,0,0
203,"Lane WE","Labour","1949-11-30","Hobson",0,0,0,0,0,0,4212,0,0,0,0,0,0
51,"Gillespie WH","National","1949-11-30","Hurunui",1,2,0,0,0,0,7952,1,0,1,7121,0,0
204,"Smith AJ","Labour","1949-11-30","Hurunui",0,0,0,0,0,0,5417,0,0,0,0,0,0
53,"Nash W","Labour","1949-11-30","Hutt",1,6,1,1,1,0,8153,1,0,1,8025,0,0
205,"Heatley HL","National","1949-11-30","Hutt",0,0,0,0,0,0,5880,0,0,0,0,0,0
56,"Simpson TF","RS","1949-11-30","Hutt",0,0,0,0,0,0,100,0,0,0,50,0,0
57,"Hanan JR","National","1949-11-30","Invercargill",1,1,0,0,0,0,7897,1,0,1,7315,0,0
58,"Denham WMC","Labour","1949-11-30","Invercargill",0,0,0,0,0,0,6738,0,0,0,7091,0,0
59,"McKeen R","Labour","1949-11-30","Island Bay",1,8,0,0,0,0,7335,1,0,1,8290,0,0
60,"Childs HE","National","1949-11-30","Island Bay",0,0,0,0,0,0,4565,0,0,0,4332,0,0
206,"Smith RJ","C","1949-11-30","Island Bay",0,0,0,0,0,0,184,0,0,0,0,0,0
62,"Bowden CM","National","1949-11-30","Karori",1,2,0,0,0,0,8367,1,0,1,7776,0,0
207,"Harris E","Labour","1949-11-30","Karori",0,0,0,0,0,0,4782,0,0,0,0,0,0
64,"McCombs TH","Labour","1949-11-30","Lyttelton",1,5,0,0,0,0,7758,1,0,1,7862,0,0
208,"Beauchamp RR","National","1949-11-30","Lyttelton",0,0,0,0,0,0,6780,0,0,0,0,0,0
66,"Oram MH","National","1949-11-30","Manawatu",1,2,0,0,0,0,8174,1,0,1,7562,0,0
209,"Rodgers BA","Labour","1949-11-30","Manawatu",0,0,0,0,0,0,4791,0,0,0,0,0,0
68,"Shand TP","National","1949-11-30","Marlborough",1,1,0,0,0,0,7861,1,0,1,6935,0,0
210,"Wilson JH","Labour","1949-11-30","Marlborough",0,0,0,0,0,0,5999,0,0,0,0,0,0
70,"Murdoch AJ","National","1949-11-30","Marsden",1,2,0,0,0,0,8746,1,0,1,7851,0,0
211,"Ross DL","Labour","1949-11-30","Marsden",0,0,0,0,0,0,5470,0,0,0,0,0,0
72,"Semple R","Labour","1949-11-30","Miramar",1,6,1,1,0,0,7193,1,0,1,8064,0,0
212,"Taylor CH","National","1949-11-30","Miramar",0,0,0,0,0,0,5878,0,0,0,0,0,0
213,"Stanton KSC","C","1949-11-30","Miramar",0,0,0,0,0,0,229,0,0,0,0,0,0
