"MacIntyre, D"	12/13/1978	12/10/1981	0	0
"Adams-Schneider, L"	12/13/1978	12/10/1981	0	0
"Thomson, D"	12/13/1978	12/10/1981	0	0
"Gair, G"	12/13/1978	12/10/1981	1	0
"Templeton, H"	12/13/1978	12/10/1981	0	0
"Bolger, J"	12/13/1978	12/10/1981	0	0
"McLachlan, C"	12/13/1978	12/10/1981	0	0
"Young, W"	12/13/1978	12/10/1981	0	0
"Young, V"	12/13/1978	12/10/1981	0	0
"Highet, D"	12/13/1978	12/10/1981	0	0
"Birch, W"	12/13/1978	12/10/1981	0	0
"Wellington, M"	12/13/1978	12/10/1981	0	0
"McLay, J"	12/13/1978	12/10/1981	1	0
"Quigley, D"	12/13/1978	12/10/1981	0	0
"Couch, M"	12/13/1978	12/10/1981	0	0
"Cooper, W"	12/13/1978	12/10/1981	0	0
"Muldoon, R"	12/11/1981	7/25/1984	1	1
"MacIntyre, D"	12/11/1981	7/25/1984	0	0
"Thomson, D"	12/11/1981	7/25/1984	1	0
"Birch, W"	12/11/1981	7/25/1984	0	0
"Bolger, J"	12/11/1981	7/25/1984	0	0
"Gair, G"	12/11/1981	7/25/1984	0	0
"Templeton, H"	12/11/1981	7/25/1984	0	0
"Cooper, W"	12/11/1981	7/25/1984	1	0
"McLay, J"	12/11/1981	7/25/1984	1	0
"Quigley, D"	12/11/1981	7/25/1984	0	0
"Young, V"	12/11/1981	7/25/1984	0	0
"Highet, D"	12/11/1981	7/25/1984	0	0
"Wellington, M"	12/11/1981	7/25/1984	0	0
"Couch, M"	12/11/1981	7/25/1984	0	0
"Malcolm, A"	12/11/1981	7/25/1984	1	0
"Shearer, I"	12/11/1981	7/25/1984	0	0
"Talbot, R"	12/11/1981	7/25/1984	0	0
"Elworthy, J"	12/11/1981	7/25/1984	0	0
"Falloon, J"	12/11/1981	7/25/1984	0	0
"Lange, D"	7/26/1984	8/23/1987	1	1
"Palmer, G"	7/26/1984	8/23/1987	1	0
"Moore, M"	7/26/1984	8/23/1987	0	0
"Douglas, R"	7/26/1984	8/23/1987	1	0
"Prebble, R"	7/26/1984	8/23/1987	0	0
"Wetere, K"	7/26/1984	8/23/1987	0	0
"Caygill, D"	7/26/1984	8/23/1987	0	0
"Marshall, R"	7/26/1984	8/23/1987	0	0
"O'Flynn, F"	7/26/1984	8/23/1987	1	0
"Bassett, M"	7/26/1984	8/23/1987	1	0
"Hercus, A"	7/26/1984	8/23/1987	0	0
"Tizard, R"	7/26/1984	8/23/1987	0	0
"Moyle, C"	7/26/1984	8/23/1987	0	0
"Rodger, S"	7/26/1984	8/23/1987	0	0
"Hunt, J"	7/26/1984	8/23/1987	0	0
"Colman, F"	7/26/1984	8/23/1987	0	0
"Burke, K"	7/26/1984	8/23/1987	0	0
"Shields, M"	7/26/1984	8/23/1987	0	0
"Tapsell, P"	7/26/1984	8/23/1987	0	0
"Goff, P"	7/26/1984	8/23/1987	0	0
"Lange, D"	8/27/1987	8/3/1989	1	1
"Palmer, G"	8/27/1987	8/3/1989	1	0
"Moore, M"	8/27/1987	8/3/1989	0	0
"Douglas, R"	8/27/1987	8/3/1989	1	0
"Prebble, R"	8/27/1987	8/3/1989	0	0
"Wetere, K"	8/27/1987	8/3/1989	0	0
"Caygill, D"	8/27/1987	8/3/1989	1	0
"Marshall, R"	8/27/1987	8/3/1989	1	0
"Bassett, M"	8/27/1987	8/3/1989	0	0
"Hunt, J"	8/27/1987	8/3/1989	0	0
"Tizard, R"	8/27/1987	8/3/1989	1	0
"Moyle, C"	8/27/1987	8/3/1989	0	0
"Rodger, S"	8/27/1987	8/3/1989	0	0
"Goff, P"	8/27/1987	8/3/1989	0	0
"Shields, M"	8/27/1987	8/3/1989	0	0
"Tapsell, P"	8/27/1987	8/3/1989	1	0
"Clark, H"	8/27/1987	8/3/1989	1	0
"Cullen, M"	8/27/1987	8/3/1989	0	0
"Jeffries, W"	8/27/1987	8/3/1989	0	0
"Butcher, D"	8/27/1987	8/3/1989	0	0
"Palmer, G"	8/14/1989	11/1/1990	1	1
"Clark, H"	8/14/1989	11/1/1990	0	0
"Moore, M"	8/14/1989	11/1/1990	0	0
"Caygill, D"	8/14/1989	11/1/1990	1	0
"Rodger, S"	8/14/1989	11/1/1990	0	0
"Wetere, K"	8/14/1989	11/1/1990	0	0
"Cullen, M"	8/14/1989	11/1/1990	0	0
"Goff, P"	8/14/1989	11/1/1990	0	0
"Hunt, J"	8/14/1989	11/1/1990	0	0
"Bassett, M"	8/14/1989	11/1/1990	0	0
"Jeffries, W"	8/14/1989	11/1/1990	1	0
"Douglas, R"	8/14/1989	11/1/1990	0	0
"Shields, M"	8/14/1989	11/1/1990	0	0
"Tizard, R"	8/14/1989	11/1/1990	0	0
"Tapsell, P"	8/14/1989	11/1/1990	0	0
"Marshall, R"	8/14/1989	11/1/1990	1	0
"Moyle, C"	8/14/1989	11/1/1990	0	0
"Butcher, D"	8/14/1989	11/1/1990	0	0
"King, A"	8/14/1989	11/1/1990	0	0
"Bolger, J"	11/2/1990	11/28/1993	1	1
"McKinnon, D"	11/2/1990	11/28/1993	1	0
"Birch, W"	11/2/1990	11/28/1993	0	0
"Richardson, R"	11/2/1990	11/28/1993	1	0
"East, P"	11/2/1990	11/28/1993	0	0
"Falloon, J"	11/2/1990	11/28/1993	0	0
"Kidd, D"	11/2/1990	11/28/1993	0	0
"Burden, P"	11/2/1990	11/28/1993	0	0
"Upton, S"	11/2/1990	11/28/1993	1	0
"Banks, J"	11/2/1990	11/28/1993	0	0
"Shipley, J"	11/2/1990	11/28/1993	0	0
"Cooper, W"	11/2/1990	11/28/1993	1	0
"Graham, D"	11/2/1990	11/28/1993	1	0
"Smith, L"	11/2/1990	11/28/1993	0	0
"McTigue, M"	11/2/1990	11/28/1993	0	0
"Storey, R"	11/2/1990	11/28/1993	0	0
"Peters, W"	11/2/1990	11/28/1993	0	0
"Marshall, D"	11/2/1990	11/28/1993	0	0
"Luxton, J"	11/2/1990	11/28/1993	0	0
"Creech, W"	11/2/1990	11/28/1993	0	0
"Bolger, J"	11/29/1993	10/11/1996	1	1
"McKinnon, D"	11/29/1993	10/11/1996	0	0
"Birch, W"	11/29/1993	10/11/1996	1	0
"East, P"	11/29/1993	10/11/1996	0	0
"Shipley, J"	11/29/1993	10/11/1996	1	0
"Kidd, D"	11/29/1993	10/11/1996	0	0
"Burden, P"	11/29/1993	10/11/1996	0	0
"Upton, S"	11/29/1993	10/11/1996	0	0
"Smith, L"	11/29/1993	10/11/1996	0	0
