Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Mornington	11/30/1949	Stephens GNC	National	5097	0	
Mornington	11/30/1949	Hannan JJ	C	208	0	
Mount Victoria	11/30/1949	Marshall JR	National	6562	1	
Mount Victoria	11/30/1949	Seddon NR	Labour	4754	0	
Mount Victoria	11/30/1949	Hyde WJ	I	94	0	
Mt Albert	11/30/1949	Freer WW	Labour	7295	1	
Mt Albert	11/30/1949	Judson RF	National	6364	0	
Napier	11/30/1949	Armstrong AE	Labour	7384	1	
Napier	11/30/1949	Tucker W	National	6663	0	
Napier	11/30/1949	Brown CJ	C	126	0	
Napier	11/30/1949	Cummins J	IL	118	0	
Nelson	11/30/1949	Neale ER	National	8420	1	
Nelson	11/30/1949	Marshall RCA	Labour	7047	0	
New Plymouth	11/30/1949	Aderman EP	National	8250	1	
New Plymouth	11/30/1949	Parker CR	Labour	6733	0	
North Shore	11/30/1949	Eyre DJ	National	7835	1	
North Shore	11/30/1949	Finlay AM	Labour	6491	0	
Northern Maori	11/30/1949	Paikea TP	Labour	5841	1	
Northern Maori	11/30/1949	Henare JT	National	3812	0	
Northern Maori	11/30/1949	Otene M	I LIB	93	0	
Northern Maori	11/30/1949	Tuwhare P	I K	30	0	
Oamaru	11/30/1949	Hayman TL	National	7415	1	
Oamaru	11/30/1949	Nordmeyer AH	Labour	6721	0	
Onehunga	11/30/1949	Osborne AG	Labour	8255	1	
Onehunga	11/30/1949	Coates AA	National	5955	0	
Onehunga	11/30/1949	Stanley R	C	198	0	
Onslow	11/30/1949	Combs HE	Labour	9391	1	
Onslow	11/30/1949	Meadowcroft JS	National	7464	0	
Otago	11/30/1949	Bodkin WA	National	8457	1	
Otago	11/30/1949	Rodgers TA	Labour	4551	0	
Otahuhu	11/30/1949	Gotz Leon	National	8493	1	
Otahuhu	11/30/1949	Dixon AB	Labour	7218	0	
Otaki	11/30/1949	Maher JJ	National	8540	1	
Otaki	11/30/1949	Capstick JJD	Labour	8166	0	
Pahiatua	11/30/1949	Holyoake KJ	National	8663	1	
Pahiatua	11/30/1949	O'Leary GP	Labour	4156	0	
Palmerston North	11/30/1949	Tennent WB	National	7368	1	
Palmerston North	11/30/1949	Wilson GHO	Labour	6850	0	
Parnell	11/30/1949	Rae DM	National	6255	1	
Parnell	11/30/1949	Schramm FW	Labour	5295	0	
Parnell	11/30/1949	Smith LR	C	131	0	
Patea	11/30/1949	Sheat WA	National	7802	1	
Patea	11/30/1949	Finer FW	Labour	5961	0	
Petone	11/30/1949	Moohan M	Labour	7721	1	
Petone	11/30/1949	Croft NP	National	5194	0	
Petone	11/30/1949	Quinn AP	C	207	0	
Piako	11/30/1949	Goosman WS	National	9599	1	
Piako	11/30/1949	Kenah GP	Labour	3333	0	
Ponsonby	11/30/1949	MacDonald RL	Labour	7439	1	
