Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Otago	9/1/1951	Bodkin WA	National	8429	1	
Otago	9/1/1951	Rodgers TA	Labour	4809	0	
Otahuhu	9/1/1951	Gotz Leon	National	9668	1	
Otahuhu	9/1/1951	Deas JM	Labour	7540	0	
Otaki	9/1/1951	Maher JJ	National	9897	1	
Otaki	9/1/1951	Holloway PN	Labour	8755	0	
Pahiatua	9/1/1951	Holyoake KJ	National	8490	1	
Pahiatua	9/1/1951	Jones O	Labour	3892	0	
Palmerston North	9/1/1951	Tennent WB	National	7288	1	
Palmerston North	9/1/1951	Hodgens J	Labour	7088	0	
Parnell	9/1/1951	Rae DM	National	6355	1	
Parnell	9/1/1951	Watt H	Labour	4768	0	
Patea	9/1/1951	Sheat WA	National	7910	1	
Patea	9/1/1951	Finer FW	Labour	5443	0	
Petone	9/1/1951	Moohan M	Labour	7502	1	
Petone	9/1/1951	Croft NP	National	5367	0	
Piako	9/1/1951	Goosman WS	National	9386	1	
Piako	9/1/1951	Kenah GP	Labour	3022	0	
Ponsonby	9/1/1951	MacDonald RL	Labour	6855	1	
Ponsonby	9/1/1951	Dempsey PE	National	5351	0	
Raglan	9/1/1951	Johnstone H	National	8364	1	
Raglan	9/1/1951	Wilson JH	Labour	6598	0	
Rangitikei	9/1/1951	Gordon EBK	National	8163	1	
Rangitikei	9/1/1951	Dalzell FA	Labour	4486	0	
Remuera	9/1/1951	Algie RM	National	8727	1	
Remuera	9/1/1951	Tizard RJ	Labour	3381	0	
Riccarton	9/1/1951	McLagan A	Labour	8506	1	
Riccarton	9/1/1951	Wills EP	National	6241	0	
Rodney	9/1/1951	Webb TC	National	10010	1	
Rodney	9/1/1951	Learning AL	Labour	5117	0	
Roskill	9/1/1951	Rae J	National	7962	1	
Roskill	9/1/1951	Curran PT	Labour	7522	0	
Selwyn	9/1/1951	McAlpine JK	National	8738	1	
Selwyn	9/1/1951	Barclay JG	Labour	6902	0	
Southern Maori	9/1/1951	Tirikatene ET	Labour	979	1	
Southern Maori	9/1/1951	Beaton WK	National	320	0	
St Albans	9/1/1951	Watts JT	National	7675	1	
St Albans	9/1/1951	Mora JB	Labour	6260	0	
St Kilda	9/1/1951	Barnes JG	National	7279	1	
St Kilda	9/1/1951	Jones F	Labour	6943	0	
Sydenham	9/1/1951	Howard MB	Labour	8406	1	
Sydenham	9/1/1951	Stott AH	National	4003	0	
Tamaki	9/1/1951	Halstead EH	National	9504	1	
Tamaki	9/1/1951	Skinner TE	Labour	8043	0	
Tamaki	9/1/1951	Wood EM	UWF	84	0	
Tauranga	9/1/1951	Walsh GA	National	10043	1	
Tauranga	9/1/1951	Pickett HJ	Labour	4643	0	
Timaru	9/1/1951	Carr CL	Labour	7265	1	
Timaru	9/1/1951	Richards WL	National	6701	0	
Waikato	9/1/1951	Sim GF	National	9410	1	
Waikato	9/1/1951	Bayly WH	Labour	3041	0	
Waikato	9/1/1951	Wright RV	I LIB	150	0	
Waimarino	9/1/1951	Kearins PR	Labour	7456	1	
Waimarino	9/1/1951	MacPherson AM	National	7389	0	
Waimate	9/1/1951	Kidd DC	National	7256	1	
Waimate	9/1/1951	Braddick AG	Labour	5024	0	
Waimate	9/1/1951	Hayes MJ	SCA	374	0	
Wairarapa	9/1/1951	Cooksley BV	National	8155	1	
Wairarapa	9/1/1951	Hansen GA	Labour	6123	0	
Waitakere	9/1/1951	Mason HGR	Labour	9132	1	
Waitakere	9/1/1951	Tapper R	National	8491	0	
Waitomo	9/1/1951	Broadfoot WJ	National	8792	1	
Waitomo	9/1/1951	Dwyer J	Labour	3506	0	
Wallace	9/1/1951	MacDonald TL	National	8515	1	
Wallace	9/1/1951	Cleary JW	Labour	3455	0	
Wellington Central	9/1/1951	Chapman CH	Labour	4463	1	
Wellington Central	9/1/1951	Burns BS	National	4186	0	
Western Maori	9/1/1951	Ratana IM	Labour	9589	1	
Western Maori	9/1/1951	Marumaru HTU	National	2237	0	
Western Maori	9/1/1951	Matthews GN	IL	352	0	
Western Maori	9/1/1951	Hou RK	K	211	0	
Westland	9/1/1951	Kent JB	Labour	7806	1	
Westland	9/1/1951	Brown IC	National	5481	0	
Whanganui	9/1/1951	Cotterill JBF	Labour	6779	1	
Whanganui	9/1/1951	O'Keefe EV	National	6553	0	
Dunedin North	12/12/1953	McMillan EE	Labour	6424	1	
Dunedin North	12/12/1953	MacDougall WP	National	3944	0	
Onehunga	12/19/1953	Watt H	Labour	6868	1	
Onehunga	12/19/1953	Bradley LG	National	3385	0	
Onslow	7/7/1954	May HLJ	Labour	-1	1	
Patea	7/31/1954	Sheat WA	I	3648	1	
Patea	7/31/1954	Winchcombe BR	Labour	3630	0	
Patea	7/31/1954	Duggan J	LIB	305	0	
Riccarton	10/27/1954	Connelly MA	Labour	6549	1	
Riccarton	10/27/1954	Dingwall BG	National	2691	0	
Riccarton	10/27/1954	Owen WB	Social Credit	1379	0	
Riccarton	10/27/1954	Yealands E	ISC	28	0	
Riccarton	10/27/1954	Grenfell IC	I	11	0	
Ashburton	11/13/1954	Gerard RG	National	6939	1	
Ashburton	11/13/1954	Glassey G	Labour	4647	0	
Ashburton	11/13/1954	Morton RH	Social Credit	1303	0	
Auckland Central	11/13/1954	Anderton WT	Labour	7493	1	
Auckland Central	11/13/1954	Stewart JW	National	3400	0	
Auckland Central	11/13/1954	Gilbert AH	Social Credit	681	0	
Auckland Central	11/13/1954	Wilcox VG	C	173	0	
Avon	11/13/1954	Mathison J	Labour	7919	1	
Avon	11/13/1954	Stone AN	National	2964	0	
Avon	11/13/1954	Stevens FW	Social Credit	2694	0	
Awarua	11/13/1954	Herron GR	National	6857	1	
Awarua	11/13/1954	Wyatt JP	Labour	3685	0	
Awarua	11/13/1954	Anderson W	Social Credit	2632	0	
Bay of Plenty	11/13/1954	Sullivan W	National	6928	1	
Bay of Plenty	11/13/1954	Santon TG	Labour	3866	0	
Bay of Plenty	11/13/1954	Blaymires JN	Social Credit	1434	0	
Buller	11/13/1954	Skinner CF	Labour	7559	1	
Buller	11/13/1954	Carson DM	National	4211	0	
Buller	11/13/1954	Eggleston WT	Social Credit	1319	0	
Christchurch Central	11/13/1954	MacFarlane RM	Labour	7345	1	
Christchurch Central	11/13/1954	Moody OG	National	3950	0	
Christchurch Central	11/13/1954	Willyams AE	Social Credit	2185	0	
Christchurch Central	11/13/1954	Ostler A	C	137	0	
Clutha	11/13/1954	Roy JAMcL	National	7454	1	
Clutha	11/13/1954	Rodgers TA	Labour	5964	0	
Clutha	11/13/1954	Aberdeen C	Social Credit	2026	0	
Dunedin Central	11/13/1954	Connolly PG	Labour	5784	1	
Dunedin Central	11/13/1954	Anderson MWD	National	5454	0	
Dunedin Central	11/13/1954	King MHA	Social Credit	2320	0	
Dunedin North	11/13/1954	McMillan EE	Labour	6860	1	
Dunedin North	11/13/1954	Black H	National	4069	0	
Dunedin North	11/13/1954	McMullan PJJ	Social Credit	2509	0	
Eastern Maori	11/13/1954	Omana T	Labour	7015	1	
Eastern Maori	11/13/1954	Anaru KT	National	3921	0	
Eastern Maori	11/13/1954	Paku WR	Social Credit	614	0	
Eden	11/13/1954	Rae DM	National	6910	1	
Eden	11/13/1954	Stewart JW	Labour	6902	0	
Eden	11/13/1954	Donovan A	Social Credit	644	0	
Egmont	11/13/1954	Corbett EB	National	6690	1	
Egmont	11/13/1954	Evans R	Labour	3713	0	
Egmont	11/13/1954	Smith WM	Social Credit	1385	0	
Fendalton	11/13/1954	Holland SG	National	7852	1	
Fendalton	11/13/1954	McDonald RH	Labour	3952	0	
Fendalton	11/13/1954	Collins AE	Social Credit	2173	0	
Franklin	11/13/1954	Massey JN	National	7299	1	
Franklin	11/13/1954	Peacock R	Labour	2712	0	
Franklin	11/13/1954	Wheeler TA	Social Credit	1398	0	
Gisborne	11/13/1954	Keeling RA	Labour	7086	1	
Gisborne	11/13/1954	Dudfield H	National	6565	0	
Gisborne	11/13/1954	D'Anvers ER	Social Credit	844	0	
Grey Lynn	11/13/1954	Hackett F	Labour	8483	1	
Grey Lynn	11/13/1954	McGowan T	National	3676	0	
Grey Lynn	11/13/1954	Jones SHC	Social Credit	835	0	
Grey Lynn	11/13/1954	Smith LR	C	129	0	
Hamilton	11/13/1954	Ross GH	National	8621	1	
Hamilton	11/13/1954	Waters EA	Labour	7191	0	
Hamilton	11/13/1954	Young RG	Social Credit	1568	0	
Hastings	11/13/1954	Keating EJ	Labour	7087	1	
Hastings	11/13/1954	Jones SI	National	6835	0	
Hastings	11/13/1954	Thew G	Social Credit	1280	0	
Hauraki	11/13/1954	Kinsella AE	National	7531	1	
Hauraki	11/13/1954	Dynes BW	Labour	4872	0	
Hauraki	11/13/1954	Bacchus GR	Social Credit	1025	0	
Hauraki	11/13/1954	Downes PO	I	194	0	
Hawkes Bay	11/13/1954	Harker CGE	National	7459	1	
Hawkes Bay	11/13/1954	Stafford A	Labour	4350	0	
Hawkes Bay	11/13/1954	Somerville TE	Social Credit	1129	0	
Heretaunga	11/13/1954	Holloway PN	Labour	9583	1	
Heretaunga	11/13/1954	McCready A	National	4525	0	
Heretaunga	11/13/1954	Tait CW	Social Credit	1029	0	
Hobson	11/13/1954	Smith SW	National	6281	1	
Hobson	11/13/1954	Elvidge CW	Social Credit	3697	0	
Hobson	11/13/1954	Henderson MK	Labour	2859	0	
Hurunui	11/13/1954	Gillespie WH	National	6454	1	
Hurunui	11/13/1954	Kirk NE	Labour	4059	0	
Hurunui	11/13/1954	Cate WL	Social Credit	1829	0	
Hutt	11/13/1954	Nash W	Labour	8371	1	
Hutt	11/13/1954	Costello CG	National	4690	0	
Hutt	11/13/1954	Maddison TO	Social Credit	829	0	
Invercargill	11/13/1954	Hanan JR	National	6020	1	
Invercargill	11/13/1954	Denham WMC	Labour	5077	0	
Invercargill	11/13/1954	Russell LG	Social Credit	2657	0	
Island Bay	11/13/1954	Nordmeyer AH	Labour	8594	1	
Island Bay	11/13/1954	Whitta JM	National	4670	0	
Island Bay	11/13/1954	Gardiner DJF	Social Credit	821	0	
Island Bay	11/13/1954	Smith RJ	C	120	0	
Karori	11/13/1954	Marshall JR	National	8317	1	
Karori	11/13/1954	Bateman JA	Labour	6506	0	
Karori	11/13/1954	McLaren RD	Social Credit	778	0	
Lyttelton	11/13/1954	Lake HR	National	6175	1	
Lyttelton	11/13/1954	McGuigan TM	Labour	6151	0	
Lyttelton	11/13/1954	Owen WB	Social Credit	2675	0	
Manawatu	11/13/1954	Oram Matthew	National	7041	1	
Manawatu	11/13/1954	Kelliher P	Labour	4813	0	
Manawatu	11/13/1954	Hill-Motion R	Social Credit	1249	0	
Manukau	11/13/1954	Gotz Leon	National	8918	1	
Manukau	11/13/1954	Stamp CD	Labour	5846	0	
Manukau	11/13/1954	Henderson DL	Social Credit	1057	0	
Marlborough	11/13/1954	Shand TP	National	7080	1	
Marlborough	11/13/1954	Turner GA	Labour	5445	0	
Marlborough	11/13/1954	Kerr GR	Social Credit	2124	0	
Marsden	11/13/1954	McKay DM	National	5389	1	
Marsden	11/13/1954	Hosking MA	Labour	4517	0	
Marsden	11/13/1954	Hill EE	Social Credit	2676	0	
Marsden	11/13/1954	Vallance WRL	Independent	1768	0	
Miramar	11/13/1954	Fox WA	Labour	7576	1	
Miramar	11/13/1954	McConnell RJ	National	6049	0	
Miramar	11/13/1954	Gunn RM	Social Credit	998	0	
Mornington	11/13/1954	Hudson WA	Labour	7279	1	
Mornington	11/13/1954	MacDougall WP	National	3393	0	
Mornington	11/13/1954	Sloan JDF	Social Credit	2797	0	
Mornington	11/13/1954	Hannan JJ	c	128	0	
Mt Albert	11/13/1954	Freer WW	Labour	8441	1	
Mt Albert	11/13/1954	Muldoon RD	National	5215	0	
Mt Albert	11/13/1954	Crispin WH	Social Credit	943	0	
Napier	11/13/1954	Edwards JG	Labour	7992	1	
Napier	11/13/1954	Tait P	National	7272	0	
Napier	11/13/1954	Lothian J	Social Credit	481	0	
Nelson	11/13/1954	Neale ER	National	7058	1	
Nelson	11/13/1954	Whitehead SA	Labour	6341	0	
Nelson	11/13/1954	Taylor KS	Social Credit	2055	0	
New Plymouth	11/13/1954	Aderman EP	National	7780	1	
New Plymouth	11/13/1954	Parker CR	Labour	6602	0	
New Plymouth	11/13/1954	Lattimer CA	Social Credit	1114	0	
North Shore	11/13/1954	Eyre DJ	National	7463	1	
North Shore	11/13/1954	Faulkner AJ	Labour	6068	0	
North Shore	11/13/1954	Proctor FS	Social Credit	707	0	
Northern Maori	11/13/1954	Paikea TP	Labour	6154	1	
Northern Maori	11/13/1954	Waetford HT	National	1719	0	
Northern Maori	11/13/1954	Otene M	Social Credit	1314	0	
Northern Maori	11/13/1954	Maihi T	I	240	0	
Oamaru	11/13/1954	Hayman TL	National	6561	1	
Oamaru	11/13/1954	Rapson JH	Labour	5203	0	
Oamaru	11/13/1954	Poole F	Social Credit	1151	0	
Onehunga	11/13/1954	Watt H	Labour	9033	1	
Onehunga	11/13/1954	Allen AE	National	4644	0	
Onehunga	11/13/1954	James ER	Social Credit	777	0	
Onslow	11/13/1954	May HLJ	Labour	7898	1	
Onslow	11/13/1954	Fortune WH	National	7379	0	
Onslow	11/13/1954	Daniel BT	Social Credit	916	0	
Otago	11/13/1954	George JH	National	6895	1	
Otago	11/13/1954	Scott PJ	Labour	4821	0	
Otago	11/13/1954	Newland AG	Social Credit	2638	0	
Otahuhu	11/13/1954	Deas JM	Labour	8162	1	
Otahuhu	11/13/1954	Bradley LG	National	6356	0	
Otahuhu	11/13/1954	Jordan FC	Social Credit	875	0	
Otahuhu	11/13/1954	Fulljames R	I	344	0	
Otaki	11/13/1954	Maher JJ	National	7767	1	
Otaki	11/13/1954	Langford EH	Labour	6804	0	
Otaki	11/13/1954	Clunie GT	Social Credit	1746	0	
Pahiatua	11/13/1954	Holyoake KJ	National	7293	1	
Pahiatua	11/13/1954	Bell R	Labour	3774	0	
Pahiatua	11/13/1954	Whimp MM	Social Credit	731	0	
Palmerston North	11/13/1954	Skoglund POS	Labour	7160	1	
Palmerston North	11/13/1954	Tennent WB	National	6814	0	
Palmerston North	11/13/1954	Wood SW	Social Credit	863	0	
Patea	11/13/1954	Jack RE	National	5547	1	
Patea	11/13/1954	Winchcombe BR	Labour	4885	0	
Patea	11/13/1954	Dawson RE	Social Credit	1879	0	
Petone	11/13/1954	Moohan M	Labour	8831	1	
Petone	11/13/1954	Soward FW	National	4620	0	
Petone	11/13/1954	Allan RL	Social Credit	859	0	
Petone	11/13/1954	Birchfield C	C	120	0	
Ponsonby	11/13/1954	MacDonald RL	Labour	8684	1	
Ponsonby	11/13/1954	Barry HG	National	4734	0	
Ponsonby	11/13/1954	Stackpole JR	Social Credit	716	0	
Ponsonby	11/13/1954	McLeod HJ	C	186	0	
Raglan	11/13/1954	Johnstone H	National	6555	1	
Raglan	11/13/1954	Wilson JH	Labour	5698	0	
Raglan	11/13/1954	Magner WL	Social Credit	817	0	
Rangitikei	11/13/1954	Shelton NL	National	7149	1	
Rangitikei	11/13/1954	Roberton SM	Labour	4470	0	
Rangitikei	11/13/1954	McGregor D	Social Credit	1463	0	
Remuera	11/13/1954	Algie RM	National	8415	1	
Remuera	11/13/1954	Tizard RJ	Labour	4871	0	
Remuera	11/13/1954	Richards HL	Social Credit	944	0	
Riccarton	11/13/1954	McLagan A	Labour	8195	1	
Riccarton	11/13/1954	Dingwall BG	National	3852	0	
Riccarton	11/13/1954	Colechin JE	Social Credit	2599	0	
Rodney	11/13/1954	Scott WJ	National	7113	1	
Rodney	11/13/1954	Hellyn A	Labour	3843	0	
Rodney	11/13/1954	Hunter GD	Social Credit	2389	0	
Roskill	11/13/1954	Rae J	National	7455	1	
Roskill	11/13/1954	Morris E	Labour	5803	0	
Roskill	11/13/1954	Sayer W	Social Credit	783	0	
Rotorua	11/13/1954	Boord AR	Labour	7211	1	
Rotorua	11/13/1954	Allen PB	National	6389	0	
Rotorua	11/13/1954	McCready HC	Social Credit	1261	0	
Selwyn	11/13/1954	McAlpine JK	National	6473	1	
Selwyn	11/13/1954	Clinton D	Labour	3852	0	
Selwyn	11/13/1954	Ward TA	Social Credit	2487	0	
Southern Maori	11/13/1954	Tirikatene ET	Labour	4452	1	
Southern Maori	11/13/1954	Carroll AT	National	1588	0	
Southern Maori	11/13/1954	Logan FR	IL	477	0	
Southern Maori	11/13/1954	Baker M	Social Credit	261	0	
Southern Maori	11/13/1954	Huata AT	Maori LAB	168	0	
St Albans	11/13/1954	Watts JT	National	6905	1	
St Albans	11/13/1954	Connelly MA	Labour	6297	0	
St Albans	11/13/1954	Ayers SW	Social Credit	2639	0	
St Kilda	11/13/1954	Barnes JG	National	5679	1	
St Kilda	11/13/1954	Jones F	Labour	5565	0	
St Kilda	11/13/1954	Murray B	Social Credit	2642	0	
Stratford	11/13/1954	Murray TT	National	6622	1	
Stratford	11/13/1954	Richmond BE	Labour	3656	0	
Stratford	11/13/1954	Tuffery LB	Social Credit	1429	0	
Sydenham	11/13/1954	Howard MB	Labour	8420	1	
Sydenham	11/13/1954	Schumacher A	National	2860	0	
Sydenham	11/13/1954	Lynne GR	Social Credit	2362	0	
Tamaki	11/13/1954	Halstead EH	National	8665	1	
Tamaki	11/13/1954	Curran PT	Labour	6679	0	
Tamaki	11/13/1954	Robertson KED	Social Credit	910	0	
Tauranga	11/13/1954	Walsh GA	National	7846	1	
Tauranga	11/13/1954	Liddell OP	Labour	4398	0	
Tauranga	11/13/1954	Whyte EJ	Social Credit	1311	0	
Timaru	11/13/1954	Carr CL	Labour	6241	1	
Timaru	11/13/1954	Wilson VW	National	4818	0	
Timaru	11/13/1954	Edmonds GM	Social Credit	2853	0	
Waikato	11/13/1954	Sim GF	National	8538	1	
Waikato	11/13/1954	Tucker AC	Labour	3840	0	
Waikato	11/13/1954	Rose EG	Social Credit	1130	0	
Waimate	11/13/1954	Davey AJ	National	6576	1	
Waimate	11/13/1954	Pickering NG	Labour	4238	0	
Waimate	11/13/1954	Hayes MJ	Social Credit	2375	0	
Waipa	11/13/1954	Goosman WS	National	7237	1	
Waipa	11/13/1954	Gallagher HF	Labour	2802	0	
Waipa	11/13/1954	Thompson SM	Social Credit	1321	0	
Wairarapa	11/13/1954	Cooksley BV	National	7160	1	
Wairarapa	11/13/1954	Wilkie RS	Labour	5469	0	
Wairarapa	11/13/1954	Feast JE	Social Credit	1890	0	
Waitakere	11/13/1954	Mason HGR	Labour	8914	1	
Waitakere	11/13/1954	McAllister J	National	5490	0	
Waitakere	11/13/1954	Monteith NR	Social Credit	1397	0	
Waitemata	11/13/1954	King NJ	Labour	7234	1	
Waitemata	11/13/1954	Morrison H	National	6847	0	
Waitemata	11/13/1954	Jordan BA	Social Credit	1463	0	
Waitomo	11/13/1954	Seath DC	National	5558	1	
Waitomo	11/13/1954	Haines VC	Labour	4078	0	
Waitomo	11/13/1954	Mullins TG	Social Credit	1536	0	
Wallace	11/13/1954	MacDonald TL	National	7405	1	
Wallace	11/13/1954	Cleary JW	Labour	2939	0	
Wallace	11/13/1954	Shaw SA	Social Credit	1557	0	
Wellington Central	11/13/1954	Kitts FJ	Labour	7752	1	
Wellington Central	11/13/1954	Highet DA	National	7125	0	
Wellington Central	11/13/1954	Elliott EB	Social Credit	795	0	
Western Maori	11/13/1954	Ratana IM	Labour	7784	1	
Western Maori	11/13/1954	Bennett WR	National	1147	0	
Western Maori	11/13/1954	Butler TPJ	IR	505	0	
Western Maori	11/13/1954	Kaihau S	MAORI LAB	283	0	
Westland	11/13/1954	Kent JB	Labour	8152	1	
Westland	11/13/1954	Wallace M	National	4547	0	
Westland	11/13/1954	Fraser IM	Social Credit	925	0	
Westland	11/13/1954	Mitchell RH	C	141	0	
Whanganui	11/13/1954	Cotterill JBF	Labour	5115	1	
Whanganui	11/13/1954	Rumbold JS	National	4810	0	
Whanganui	11/13/1954	Marks ROC	Social Credit	3554	0	
Bay of Plenty	4/6/1957	Allen PB	National	5290	1	
Bay of Plenty	4/6/1957	Santon TG	Labour	4091	0	
Bay of Plenty	4/6/1957	Pedley RJ	LIB	417	0	
Ashburton	11/30/1957	Gerard RG	National	7874	1	
Ashburton	11/30/1957	Glassey G	Labour	6105	0	
Ashburton	11/30/1957	Morton RH	Social Credit	559	0	
Auckland Central	11/30/1957	Anderton WT	Labour	9144	1	
Auckland Central	11/30/1957	Joyce AA	National	5288	0	
Auckland Central	11/30/1957	Liddle LB	Social Credit	768	0	
Avon	11/30/1957	Mathison J	Labour	9743	1	
Avon	11/30/1957	Olds WE	National	3643	0	
Avon	11/30/1957	Cullen CE	Social Credit	1049	0	
Awarua	11/30/1957	Grieve GG	National	6746	1	
Awarua	11/30/1957	Wyatt JP	Labour	5110	0	
Awarua	11/30/1957	Anderson W	Social Credit	1277	0	
Bay of Plenty	11/30/1957	Allen PB	National	6290	1	
Bay of Plenty	11/30/1957	Santon TG	Labour	5380	0	
Bay of Plenty	11/30/1957	Baymires JN	Social Credit	935	0	
Buller	11/30/1957	Skinner CF	Labour	7563	1	
Buller	11/30/1957	Bensenmann NL	National	4886	0	
Buller	11/30/1957	Matthews PH	Social Credit	1357	0	
Christchurch Central	11/30/1957	MacFarlane RM	Labour	8763	1	
Christchurch Central	11/30/1957	McLachlan CCA	National	4692	0	
Christchurch Central	11/30/1957	Campbell WJ	Social Credit	811	0	
Christchurch Central	11/30/1957	Locke JC	C	153	0	
Clutha	11/30/1957	Roy JAMcL	National	7187	1	
Clutha	11/30/1957	Fahey J	Labour	5015	0	
Clutha	11/30/1957	Aberdeen C	Social Credit	328	0	
Dunedin Central	11/30/1957	Connolly PG	Labour	8241	1	
Dunedin Central	11/30/1957	Anderson MWD	National	6463	0	
Dunedin Central	11/30/1957	King MHA	Social Credit	850	0	
Dunedin North	11/30/1957	McMillan EE	Labour	8616	1	
Dunedin North	11/30/1957	Terry GR	National	5208	0	
Dunedin North	11/30/1957	McMullan PJJ	Social Credit	1180	0	
Eastern Maori	11/30/1957	Omana T	Labour	6569	1	
Eastern Maori	11/30/1957	Maxwell W	National	2372	0	
Eastern Maori	11/30/1957	Reedy HT	Social Credit	2021	0	
Eden	11/30/1957	Rae DM	National	8744	1	
Eden	11/30/1957	Watkins CIB	Labour	8246	0	
Eden	11/30/1957	Grove AG	Social Credit	599	0	
Egmont	11/30/1957	Sheat WA	National	6863	1	
Egmont	11/30/1957	Parker CR	Labour	4166	0	
Egmont	11/30/1957	Smith WM	Social Credit	1848	0	
Fendalton	11/30/1957	Watts JT	National	8307	1	
Fendalton	11/30/1957	White LGG	Labour	6140	0	
Fendalton	11/30/1957	Collins AE	Social Credit	824	0	
Franklin	11/30/1957	Allen AE	National	8522	1	
Franklin	11/30/1957	Mountford C	Labour	4281	0	
Franklin	11/30/1957	Wheeler TA	Social Credit	1386	0	
Gisborne	11/30/1957	Keeling RA	Labour	8038	1	
Gisborne	11/30/1957	MacPherson AH	National	6856	0	
Gisborne	11/30/1957	Orr KF	Social Credit	614	0	
Grey Lynn	11/30/1957	Hackett F	Labour	9893	1	
Grey Lynn	11/30/1957	Griffiths B	National	4106	0	
Grey Lynn	11/30/1957	James ER	Social Credit	733	0	
Hamilton	11/30/1957	Ross Hilda	National	7721	1	
Hamilton	11/30/1957	Waters EA	Labour	6611	0	
Hamilton	11/30/1957	Young RG	Social Credit	983	0	
Hastings	11/30/1957	Keating EJ	Labour	8146	1	
Hastings	11/30/1957	Sivewright AH	National	7076	0	
Hastings	11/30/1957	Thew G	Social Credit	782	0	
Hauraki	11/30/1957	Kinsella AE	National	6743	1	
Hauraki	11/30/1957	Dynes BW	Labour	5582	0	
Hauraki	11/30/1957	Mackey RS	Social Credit	1677	0	
Hawkes Bay	11/30/1957	Harker CGE	National	7458	1	
Hawkes Bay	11/30/1957	Fischer LT	Labour	4600	0	
Hawkes Bay	11/30/1957	Owen CJ	Social Credit	897	0	
Heretaunga	11/30/1957	Holloway PN	Labour	9382	1	
Heretaunga	11/30/1957	McCready A	National	4265	0	
Heretaunga	11/30/1957	Allan RL	Social Credit	812	0	
Hobson	11/30/1957	Smith SW	National	6887	1	
Hobson	11/30/1957	Moyle CJ	Labour	3753	0	
Hobson	11/30/1957	Elvidge CW	Social Credit	3152	0	
Hurunui	11/30/1957	Gillespie WH	National	7614	1	
Hurunui	11/30/1957	Christie L	Labour	5865	0	
Hurunui	11/30/1957	Cate WL	Social Credit	1057	0	
Hutt	11/30/1957	Nash W	Labour	8975	1	
Hutt	11/30/1957	Adams-Scheider LR	National	4545	0	
Hutt	11/30/1957	Milne DS	Social Credit	808	0	
Invercargill	11/30/1957	Hanan JR	National	7577	1	
Invercargill	11/30/1957	Doyle TF	Labour	6898	0	
Invercargill	11/30/1957	Russell LG	Social Credit	673	0	
Island Bay	11/30/1957	Nordmeyer AH	Labour	9368	1	
Island Bay	11/30/1957	Goldsmith AS	National	5159	0	
Island Bay	11/30/1957	Elliott EB	Social Credit	683	0	
Island Bay	11/30/1957	Nunes R	C	105	0	
Karori	11/30/1957	Marshall JR	National	9481	1	
Karori	11/30/1957	Spry SK	Labour	6420	0	
Karori	11/30/1957	Daniel BT	Social Credit	555	0	
Karori	11/30/1957	Simpson TF	I CON	75	0	
Lyttelton	11/30/1957	Kirk NE	Labour	8064	1	
Lyttelton	11/30/1957	Lake HR	National	7497	0	
Lyttelton	11/30/1957	Owen WB	Social Credit	1014	0	
Manawatu	11/30/1957	Tennent WB	National	7256	1	
Manawatu	11/30/1957	Kelliher P	Labour	5681	0	
Manawatu	11/30/1957	O'Brien JB	Social Credit	1248	0	
Manawatu	11/30/1957	Pedley RJ	LIB	124	0	
Manukau	11/30/1957	Gotz Leon	National	7480	1	
Manukau	11/30/1957	Stamp CD	Labour	7321	0	
Manukau	11/30/1957	Higham TWG	Social Credit	820	0	
Marlborough	11/30/1957	Shand TP	National	7672	1	
Marlborough	11/30/1957	Evans R	Labour	5890	0	
Marlborough	11/30/1957	Kerr GR	Social Credit	1184	0	
Marsden	11/30/1957	McKay DM	National	7906	1	
Marsden	11/30/1957	Hosking MA	Labour	5818	0	
Marsden	11/30/1957	Vallance WRL	Social Credit	994	0	
Marsden	11/30/1957	Hill EE	ISC	332	0	
Miramar	11/30/1957	Fox WA	Labour	8417	1	
Miramar	11/30/1957	Costello CG	National	6340	0	
Miramar	11/30/1957	Johnson RW	Social Credit	736	0	
Mornington	11/30/1957	Hudson WA	Labour	7756	1	
Mornington	11/30/1957	MacDougall WP	National	4939	0	
Mornington	11/30/1957	Milburn JO	Social Credit	1227	0	
Mornington	11/30/1957	Marston JL	C	38	0	
Mt Albert	11/30/1957	Freer WW	Labour	8766	1	
Mt Albert	11/30/1957	Taylor GGP	National	4779	0	
Mt Albert	11/30/1957	Gerrard JF	Social Credit	892	0	
Napier	11/30/1957	Edwards JG	Labour	9140	1	
Napier	11/30/1957	Foster RV	National	6727	0	
Napier	11/30/1957	Frampton AE	Social Credit	671	0	
Nelson	11/30/1957	Whitehead SA	Labour	7592	1	
Nelson	11/30/1957	Martin CW	National	7083	0	
Nelson	11/30/1957	Toomer C	Social Credit	1138	0	
New Plymouth	11/30/1957	Aderman EP	National	8386	1	
New Plymouth	11/30/1957	Barclay RM	Labour	7729	0	
New Plymouth	11/30/1957	Lattimer KGJ	Social Credit	686	0	
North Shore	11/30/1957	Eyre DJ	National	8122	1	
North Shore	11/30/1957	Smith PL	Labour	7660	0	
North Shore	11/30/1957	Richards AHE	Social Credit	544	0	
North Shore	11/30/1957	Holloway BV	I	140	0	
Northern Maori	11/30/1957	Paikea TP	Labour	5774	1	
Northern Maori	11/30/1957	Davis TJ	National	1464	0	
Northern Maori	11/30/1957	Maihi T	Social Credit	773	0	
Northern Maori	11/30/1957	Sutherland RHA	LU	529	0	
